ContactID,PracticeStartDate,Degree,Unit
251,1970-01-11 20:12:53,DO,Emergency
252,2010-08-19 00:33:38,DO,Emergency
253,1974-10-04 17:08:58,DO,Emergency
254,2003-07-13 03:33:45,DO,Emergency
255,2000-05-07 03:37:20,DO,Emergency
256,1986-05-01 00:18:40,DO,Family Practice
257,1975-02-27 17:31:39,DO,Family Practice
258,1981-03-05 07:19:13,DO,Family Practice
259,1986-12-15 21:58:13,DO,Family Practice
260,1972-03-05 11:55:14,DO,Family Practice
261,2007-07-12 13:08:05,DO,Cardiology
262,2008-01-06 13:13:23,DO,Cardiology
263,2009-10-26 12:21:57,DO,Cardiology
264,1984-11-01 15:57:44,DO,Cardiology
265,1995-11-18 08:41:15,DO,Intensive Care
266,2001-09-11 00:18:44,DO,Intensive Care
267,1991-08-30 03:42:29,DO,Intensive Care
268,2011-06-28 18:56:49,DO,Intensive Care
269,1973-11-19 20:46:49,DO,Intensive Care
270,1990-02-03 21:37:09,DO,Neurology
271,2004-04-21 00:21:05,DO,Neurology
272,1982-04-26 04:03:05,DO,Neurology
273,1973-04-03 14:31:54,DO,Neurology
274,2006-09-23 12:28:28,DO,Neurology
275,1985-09-02 20:04:33,DO,Oncology
276,1989-09-15 11:34:26,DO,Oncology
277,1974-07-12 08:12:56,DO,Obstetrics
278,2009-02-16 22:06:34,DO,Obstetrics
279,1981-10-02 20:41:31,DO,Obstetrics
280,1974-05-11 05:20:53,DO,Obstetrics
281,2001-10-20 04:13:25,MD,Emergency
282,1990-08-08 13:55:20,MD,Emergency
283,1974-10-29 03:01:08,MD,Emergency
284,2005-07-31 12:11:56,MD,Neurology
285,1998-08-01 15:48:30,MD,Neurology
286,1983-05-26 19:19:33,MD,Neurology
287,1977-10-20 14:51:20,MD,Oncology
288,2008-10-29 16:20:23,MD,Family Practice
289,1997-05-11 20:34:34,MD,Family Practice
290,1971-03-19 07:34:40,MD,Family Practice
291,1972-07-22 14:50:11,MBBS,Surgery
292,1998-06-28 04:34:39,MBBS,Surgery
293,2005-01-12 23:49:10,MBBS,Surgery
294,2011-11-19 17:10:15,MBBS,Surgery
295,2004-02-03 21:10:24,MBBS,Surgery
296,1971-12-16 02:25:04,MBBS,Surgery
297,1975-04-11 18:16:25,MBBS,Surgery
298,1995-09-29 22:21:34,MBBS,Surgery
299,1973-02-26 14:41:36,MBBS,Surgery
,,,
